分类,研报标题,摘要,作者,评级,页数,日期,分享者,来源页,抓取时间,类型,分享时间
投研资讯,中邮证券-海泰新光-688677-海外库存消化拐点已至，未雨绸缪化解关税风险-250627,"公司致力于探索光学技术与医学、工业及激光、生物识别等多领域的融合创新
　　海泰新光主要从事医用内窥镜器械和光学产品的研发、生产和销售。公司致力于探索光学技术与医学、工业及激光、...",盛丽华,买入,23,2025-06-27,sho****ty,1,2025-06-29 01:10:11,,
投研资讯,长城证券-森麒麟-002984-行业景气度提升推动公司全年业绩增长，看好公司品牌力提升与全球化布局-250627,事件1：2025年4月23日，森麒麟发布2024年年报。公司2024年收入为85.11亿元，同比上升8.53%；归母净利润为21.86亿元，同比上升59.74%；扣非归母净利润...,肖亚平,买入,5,2025-06-27,z56****55,1,2025-06-29 01:10:11,,
投研资讯,国信证券-士兰微-600460-全球份额稳步提升，碳化硅上车加速推进-250627,"核心观点
　　2024年公司功率半导体份额全球第六（占3.3%），国内第一。公司为成熟制程垂直一体化制造的半导体制造企业，主要业务包含分立器件、集成电路及LED板块。2024年...",胡剑，胡慧，叶子,优于大市,5,2025-06-27,yany******357,1,2025-06-29 01:10:11,,
投研资讯,财通证券-海创药业-688302-全国多地迎来首张处方-250627,事件：近日，海创药业首个1类抗癌新药氘恩扎鲁胺软胶囊(海纳安)由复旦大学附属肿瘤医院泌尿外科叶定伟教授团队开出首张处方，北京、广州、天津、河南、成都、江苏等多地相继开出当地首张...,华挺，赵千，张文录,增持,3,2025-06-27,geor******i37,1,2025-06-29 01:10:11,,
投研资讯,天风证券-江河集团-601886-中标多个沙特地标项目，“出海”铸就增长新引擎-250627,"中标多个沙特幕墙订单，海外市场拓展扎实推进
　　6月26日公司公告，全资子公司沙特江河本次签署的JEDDAHTOWER（“吉达塔”或“沙特王国塔”）工程项目的分包合同，金额沙特...",鲍荣富，王涛,买入,3,2025-06-27,ver****en,1,2025-06-29 01:10:11,,
投研资讯,光大证券-联影医疗-688271-事件点评：股权激励彰显长期发展信心，设备更新有望带来业绩改善-250627,"事件：
　　近期，公司发布2025年限制性股票激励计划，拟以95元/股向公司高级管理人员、核心技术人员、中层管理人员及其他人员共计1368人授予500万股限制性股票，约占该激励...",王明瑞，吴佳青,买入,3,2025-06-27,l**h,1,2025-06-29 01:10:11,,
投研资讯,华鑫证券-三花智控-002050-公司事件点评报告：主业筑牢基本盘，业绩增长稳健-250627,"事件
　　三花智控发布2025年半年度业绩预告：预计2025年上半年度实现收入150.44亿元-177.79亿元，同比增长10%-30%;实现归母净利润18.93亿元-22.7...",尤少炜,买入（首次）,5,2025-06-27,jian******iye,1,2025-06-29 01:10:11,,
投研资讯,华鑫证券-海力风电-301155-公司动态研究报告：海风建设加速，公司交付有望放量-250627,"▌领先的海风装备供应商，深远海+出口贡献新动能
　　公司是国内领先的海上风电装备供应商，聚焦风电设备零部件的研产销，主要产品为风电塔筒、桩基、导管架及升压站等，尤以海上风电设备...",张涵,买入（首次）,5,2025-06-27,ccz****11,1,2025-06-29 01:10:11,,
投研资讯,中邮证券-黄山谷捷-301581-技术壁垒巩固龙头地位，盈利修复可期-250627,"投资要点
　　公司专业从事功率半导体模块散热基板的研发、生产和销售，产品主要应用于新能源汽车领域，是电机控制用车规级功率半导体模块的重要组成部件，并拓展至新能源发电、储能、轨道...",付秉正,增持（首次）,5,2025-06-27,g**o,1,2025-06-29 01:10:11,,
投研资讯,开源证券-迅安科技-834950-北交所信息更新：电动送风呼吸器增长+泰国子公司落地，募投产能8月31日达产-250626,"2025Q1：营收5430万元，同比+7%；归母净利润1234万元，同比+6%
　　公司发布2024年报与2025年一季报，2024年，公司实现营业收入2.23亿元，同比增长5...",诸海滨,增持,4,2025-06-27,dai****52,1,2025-06-29 01:10:11,,
投研资讯,中邮证券-昆仑万维-300418-利润短期承压，AI商业化进展加速-250627,"事件回顾
　　2025年4月26日，公司发布2024年年报，公司2024年实现营业收入56.62亿元，同比增长15.20%；归母净利润-15.95亿元，同比下降226.74%；...",王晓萱,增持,5,2025-06-27,1001******ZHU,2,2025-06-29 01:10:14,,
投研资讯,开源证券-戈碧迦-835438-北交所信息更新：设立子公司布局医疗新材料板块，重点发展半导体应用领域-250626,"2025Q1实现营收1.24亿元、归母净利润878.24万元
　　公司发布2024年报与2025年一季报，2024年，公司实现营收5.66亿元，同比下降29.95%，归母净利润...",诸海滨,增持,4,2025-06-27,虞***,2,2025-06-29 01:10:14,,
投研资讯,群益证券-格力电器-000651-空调品类“6·18”大促销售较好，新一轮“国补”7月将下达-250627,"结论及建议：
　　空调在618大促表现较好，格力空调品类销售额领跑行业：从产业在线数据来看，受益于国补政策推动，5月空调内销出货量同比增长13.4%。6月初虽有部分省份国补暂停...",王睿哲,买进,3,2025-06-27,克**一,2,2025-06-29 01:10:14,,
投研资讯,群益证券-海光信息-688041-合并中科曙光有望增强算力产业竞争优势，未来发展空间进一步提升-250627,"事件：
　　2025年6月10日，海光信息公告《换股吸收合并曙光信息产业股份有限公司并募集配套资金暨关联交易预案》，计划通过换股吸收合并的方式对海光信息和中科曙光进行战略重组。...",何利超,买进,3,2025-06-27,xia****11,2,2025-06-29 01:10:14,,
投研资讯,中邮证券-鹏鼎控股-002938-卡位AI浪潮，业绩稳健增长-250627,"投资要点
　　卡位AI终端消费品创新周期，为业绩稳定增长提供动能。AI功能从云端向端侧加速渗透，驱动消费电子产业升级迭代，为未来消费电子市场带来了巨大的市场空间。据统计2024...",吴文吉,买入,4,2025-06-27,csj****er,2,2025-06-29 01:10:14,,
投研资讯,国金证券-宁波华翔-002048-剥离欧洲轻装行，布局机器人启新篇-250626,"投资逻辑：
　　中高档乘用车零部件龙头，轻量智能升级开拓自主品牌。公司专注于中高档乘用车零部件业务，通过“自身研发+合资并购”的方式，推动产品朝着轻量化、安全化、智能化和模块化...",陈传红，冉婷,买入（首次）,33,2025-06-27,jhc****88,2,2025-06-29 01:10:14,,
投研资讯,中邮证券-瑜欣电子-301107-通机景气向上和新客户新产品开拓带动公司业绩高增，战略布局机器人等新成长点-250627,"投资要点
　　瑜欣电子，成立于2003年，总部位于重庆高新区，主要致力于通机、非道路车辆、园林工具等行业的电子电气零部件的研发、制造和销售。公司主要产品可划分为三大类：（1）通...",刘卓，虞洁攀,增持（首次）,5,2025-06-27,stev******e12,2,2025-06-29 01:10:14,,
投研资讯,山西证券-三花智控-002050-业绩预告靓丽，港股IPO顺利发行-250627,"事件描述
　　2025年6月24日晚，三花智控发布了2025年半年度业绩预告，2025H1实现营收150.4-177.8亿，同比增长10%-30%，归属于上市公司净利润为18....",陈玉卢,买入-A（首次）,5,2025-06-27,采姑娘****蘑菇,2,2025-06-29 01:10:14,,
投研资讯,长城证券-永和股份-605020-制冷剂进入长景气周期，关注公司含氟高分子材料及精细化学品布局-250627,事件1：2025年4月24日，永和股份发布2024年年报。公司2024年收入为46.06亿元，同比上升5.42%；归母净利润为2.51亿元，同比上升36.83%；扣非归母净利润...,肖亚平,买入,5,2025-06-27,hou****qi,2,2025-06-29 01:10:14,,
投研资讯,中邮证券-广东宏大-002683-矿服民爆一体化龙头，深耕军工谱新篇-250627,"投资要点
　　广东宏大创立于1988年，是广东省环保集团有限公司控股企业，是中国第一家矿山民爆一体化服务上市公司。公司以矿山工程服务、民用爆破器材生产与销售、防务装备为三大主业...",鲍学博，马强,增持（首次）,29,2025-06-27,ha***i,2,2025-06-29 01:10:14,,
投研资讯,华安证券-弘景光电-301479-新兴消费电子时代，光学创新大有可为-250625,"新兴消费光学引领公司成长
　　弘景光电成立于2012年，是一家专业从事光学镜头及摄像模组产品的研发、设计、生产和销售的高新技术企业。公司主要产品包括智能汽车光学镜头及摄像模组和...",陈耀波，刘志来,买入（首次）,26,2025-06-27,blu****06,2,2025-06-29 01:10:14,,
投研资讯,中航证券-小商品城-600415-“六区”招商超预期，跨境金融打造第二增长极-250625,事件:①6月17日，公司全球数贸中心的珠宝行业完成招商，本次招商上位数量共389个。②6月18日，公司全资子公司浙江迅弛数字科技有限公司（“义支付”母公司）拟于中国香港特别行政...,裴伊凡，郭念伟,买入,4,2025-06-27,Han****ng,2,2025-06-29 01:10:14,,
投研资讯,建银国际-三花智控-002050-大市场下的小规模发行-250623,有限的H股流通量支持股价。三花智控H股今日首日上市，开盘下跌后逐步回升，最终表现基本持平（全日下跌0.1%）。重新审视发行结构，三花H股发行价定在区间上限22.53港元，较其A...,龙兆丰，曲克,优于大市,3,2025-06-27,徐***,2,2025-06-29 01:10:14,,
投研资讯,东吴证券-晶盛机电-300316-成功备案60万片8英寸衬底产能，有望受益8英寸衬底产业化-250626,"事件：浙江省投资项目在线审批监管平台发布了晶盛机电子公司晶瑞电子材料有限公司年产60万片8英寸碳化硅衬底片切磨抛产线项目的备案公示。
　　晶盛机电衬底产能规划达90万片，规模效...",周尔双，李文意,买入,3,2025-06-26,d**a,2,2025-06-29 01:10:14,,
投研资讯,光大证券-阳煤化工-600691-公告点评：大股东增持体现发展信心，拟更名潞化科技深化产业转型-250626,"事件1：
　　公司控股股东山西潞安化工有限公司于2025年6月24日通过上海证券交易所交易系统以集中竞价的方式增持公司股票210万股，占公司总股本的0.09%，本次增持成交总额...",赵乃迪，蔡嘉豪,增持,4,2025-06-26,sc***w,2,2025-06-29 01:10:14,,
投研资讯,华西证券-长川科技-300604-2025H1业绩预告点评：业绩超预期，持续受益数字测试机放量+新品突破-250625,"事件概述
　　公司发布业绩预增公告，同时发布定增预案。
　　高端测试机快速放量，2025H1业绩高增超预期
　　2025H1公司预计实现归母净利润3.6-4.2亿元，同比+68...",黄瑞连,增持,5,2025-06-26,岚***,2,2025-06-29 01:10:14,,
投研资讯,东吴证券-湘财股份-600095-金融科技加持，财富管理转型出奇制胜-250626,"投资要点
　　历经多次战略转型，近年资本运作与科技赋能不断加速。前身为1994年成立的哈高科，以大豆深加工等传统产业为主营业务。2005年引入民营资本新湖控股后开启股权结构改革...",孙婷，何婷,增持,18,2025-06-26,zha****60,2,2025-06-29 01:10:14,,
投研资讯,中邮证券-裕太微-688515-七大产品线形成框架，研发投入步入收获期-250626,"投资要点
　　市场持续复苏，下游客户需求有所增长。随着半导体行业周期性下行收尾，市场需求逐步复苏及客户库存逐步优化，下游客户需求有所增长；同时公司2.5G网通以太网物理层芯片、...",万玮，吴文吉,买入,5,2025-06-26,331****85,2,2025-06-29 01:10:14,,
投研资讯,西南证券-力盛体育-002858-公司回购股份达1%，彰显长期发展信心-250626,事件：公司发布关于回购股份比例达到1%暨回购进展公告，截至2025年6月23日，公司通过回购专用证券账户以集中竞价方式回购公司股份166.32万股，占公司总股本的1.01%，最...,陈柯伊，周杰，刘言,买入,4,2025-06-26,lan****ha,2,2025-06-29 01:10:14,,
投研资讯,中邮证券-宏达股份-600331-集团支持加码，世界级铜矿或将启动-250626,"事件：6月17日，公司发布向特定对象发行股票募集说明书，拟向控股股东蜀道集团发行6.10亿股，发行价格为4.68元/股，募集资金总额为28.53亿元。
　　公司主营业务为磷化工...",李帅华，魏欣,增持（首次）,5,2025-06-26,luot******bju,2,2025-06-29 01:10:14,,
投研资讯,群益证券-完美世界-002624-重点新游《异环》今年有望上线，预计将大幅提升游戏收入-250626,"事件：
　　《异环》收容测试于6月26日正式开启。此前，五月国家新闻出版署公布了新一批国产网络游戏审批结果，完美世界旗下2025年重点储备的都市怪谈题材二次元开放世界游戏《异环...",何利超,买进,3,2025-06-26,枫**枫,3,2025-06-29 01:10:16,,
投研资讯,群益证券-北方华创-002371-科技摩擦加剧，中国对于先进制程需求迫切-250626,"结论与建议：
　　伴随中美贸易摩擦升级，先进制程的产能问题已经成为制约中国AI产业发展的最核心问题，因此我们预计2H25开始，中国半导体产业有望迎来先进工艺扩张的结构性契机。公...",朱吉翔,买进,3,2025-06-26,Wai****QX,3,2025-06-29 01:10:16,,
投研资讯,国联民生证券-稳健医疗-300888-公司深度：品牌向上，医疗+消费高质成长-250626,"投资要点
　　品牌力领先的大健康企业，“医疗+消费”双轮驱动
　　稳健医疗以医用敷料代工起家，后通过自主研发全棉水刺无纺布切入消费品领域。当前公司医疗与消费业务双轮驱动，“稳健...",高旭和,买入（首次）,47,2025-06-26,suy****_0,3,2025-06-29 01:10:16,,
投研资讯,华西证券-悦达投资-600805-拥抱“双碳”时代，“两新一智”绘新蓝图-250624,盐城市属优质平台企业，战略转型新兴产业。公司控股股东为悦达集团，实控人为盐城市政府。公司作为国资平台承担着向国家战略新兴领域推进的关键职能，在地区项目获取、资源配置等方面具备显...,戚舒扬,增持（首次）,40,2025-06-26,金色***光,3,2025-06-29 01:10:16,,
投研资讯,中邮证券-南亚新材-688519-高端产品放量驱动盈利高增，全球化布局深化成长动能-250626,"投资要点
　　高速等高端产品放量，驱动盈利高增。2024年公司营收同比增长12.70%至33.62亿元，归母净利润同比增长138.86%至5032万元，主要系针对高端市场产能严...",吴文吉,买入（首次）,5,2025-06-26,wen****su,3,2025-06-29 01:10:16,,
投研资讯,东吴证券-浙江荣泰-603119-收购金力传动15%股权，进军微型传动模组领域-250626,"事件：公司拟收购金力传动15%股份，以股份转让方式受让目标公司原股东股份，目标公司估值20亿元，对应24年5xPB、31xPE
　　目标公司定位微特传动第一品牌、技术积累深厚。...",曾朵红，阮巧燕，岳斯瑶,买入,3,2025-06-26,32***9,3,2025-06-29 01:10:16,,
投研资讯,中邮证券-学大教育-000526-个性化教育稳定增长，多元拓展丰富盈利结构-250626,"事件回顾
　　2025年4月26日，公司发布2024年年报及2025年一季报。2024年公司实现营业收入27.86亿元，同比增长25.90%；归母净利润1.8亿元，同比增长16...",王晓萱,买入（首次）,5,2025-06-26,想***,3,2025-06-29 01:10:16,,
投研资讯,中邮证券-立高食品-300973-产品与渠道深耕驱动增长，成本管控优化盈利-250626,"投资要点
　　公司在稀奶油领域展现出强劲的产品迭代能力，冷冻烘焙新品在山姆渠道表现亮眼。继2023年推出高端产品360pro后，公司进一步推出330等产品、形成高中低产品矩阵，...",蔡雪昱，杨逸文,买入,5,2025-06-26,ang****ng,3,2025-06-29 01:10:16,,
投研资讯,开源证券-金诚信-603979-公司首次覆盖报告：矿服资源协同作战，铜矿业务快速成长-250625,"“矿服+资源”双轮驱动，国内矿服龙头乘风而起
　　金诚信是国内领先的矿山服务商之一，目前在手订单充裕，主业发展稳健。在矿服业务稳定发展基础上，公司积极向资源领域延伸，形成“矿服...",孙二春,买入（首次）,29,2025-06-26,mr***n,3,2025-06-29 01:10:16,,
投研资讯,开源证券-巨人网络-002558-公司首次覆盖报告：IP为盾，锐意创新，老牌游戏龙头再启航-250625,"核心IP稳固，《超自然行动组》等驱动成长，首次覆盖，给予“买入”评级
　　公司为研运一体的网络游戏龙头公司，公司核心IP“征途”系列通过精细化长线运营，基本盘稳固，以《球球大作...",方光照，田鹏,买入（首次）,21,2025-06-26,啸***,3,2025-06-29 01:10:16,,
投研资讯,天风证券-南极光-300940-技术为擎，驱动广阔成长空间-250626,"一、公司概况
　　深圳市南极光电子科技股份有限公司成立于2009年，由姜发明、潘连兴共同出资设立（注册资本200万元），专注LED背光源产品研发，主营业务为背光显示模组及相关产...",潘暕，许俊峰,买入（首次）,13,2025-06-26,mis****rs,3,2025-06-29 01:10:16,,
投研资讯,辉立证券-双环传动-002472-海外業務加速拓展，多元化產品體系齊驅並進-250624,"公司簡介：
　　雙環傳動專注於齒輪傳動產品製造，齒輪業務占比大約八成，並逐步完成從傳統齒輪產品向高精密齒輪及其相關零部件的轉型升級，目前主要產品為齒輪類產品（乘用車齒輪、商用車...",章晶,增持（上调）,5,2025-06-26,ron****59,3,2025-06-29 01:10:16,,
投研资讯,华西证券-康冠科技-001308-智能电视及交互显示业务稳健，创新类显示业务打造新增长极-250626,"康冠科技：专注智能显示三十载，业务版图日臻丰富
　　康冠科技成立于1995年，主要产品包括智能交互平板、创新类显示产品、专业类显示产品及智能电视等。作为全球智能显示行业龙头企业...",纪向阳,买入（上调）,27,2025-06-26,mi***i,3,2025-06-29 01:10:16,,
投研资讯,财通证券-杰创智能-301248-AI+安全机器人、AI智算云服务双翼齐飞-250625,双翼齐飞，布局安全机器人与AI智算云服务：公司积极拓展安全机器人和AI智算云服务两大核心业务，战略性拓展多元垂直场景，目前已升级为AI产品和应用解决方案提供商。2020-202...,杨烨,增持（首次）,40,2025-06-26,dis****am,3,2025-06-29 01:10:16,,
投研资讯,华鑫证券-广大特材-688186-公司事件点评报告：半年度业绩预增，齿轮箱零部件和海风铸件增量显著-250625,"事件
　　广大特材发布2025年半年度业绩预增公告：预计实现营收25.00亿元，同比增长32.91%；预计实现归母净利润2.00亿元，同比增长367.51%；预计实现归母扣非净...",张涵,买入（首次）,5,2025-06-26,yl***l,3,2025-06-29 01:10:16,,
投研资讯,开源证券-铁大科技-872541-北交所信息更新：投资低速无人驾驶，加码布局具身智能机器人、自动驾驶等新领域-250625,"公告拟通过沪通智行持股狗熊机器人37.69%，维持“增持”评级
　　铁大科技2025年6月20日发布公告称，拟通过全资子公司上海沪通智行科技有限公司向狗熊机器人有限公司投资6,...",诸海滨,增持,4,2025-06-26,471****03,3,2025-06-29 01:10:16,,
投研资讯,华福证券-稳健医疗-300888-从韩国卫生巾事件看稳健品牌价值-250625,"投资要点：
　　看好公司卫生巾品牌成长性、渠道红利与差异化。①成长性：据久谦中台，奈丝公主品牌抖音5月销售额保持同比196%的快速增长，1-5月累计同比增长322%。据蝉妈妈抖...",李宏鹏，李含稚,买入,12,2025-06-25,陈***,3,2025-06-29 01:10:16,,
投研资讯,开源证券-美邦科技-832471-北交所信息更新：募投3万吨/年THF产能逐步释放，2024全年营收5.40亿元+13%-250625,"2024全年实现营收5.40亿元+12.89%，维持“增持”评级
　　2024全年美邦科技实现营收5.40亿元同比增长12.89%，归母净利润-345.27万元。2025Q1实...",诸海滨,增持,4,2025-06-25,lk***k,3,2025-06-29 01:10:16,,
投研资讯,中航证券-中科金财-002657-金融科技主业筑基，AI+区块链双轮驱动-250624,"报告摘要
　　深耕金融科技IT创新，营收渐趋恢复态势明显
　　公司专注于AGI、WEB3.0、数字人民币、数据要素等核心技术研发，主要围绕金融机构、政府与公共事业、企业三大客户...",卢正羽，刘牧野,买入（首次）,6,2025-06-25,pan****97,3,2025-06-29 01:10:16,,
投研资讯,华福证券-锡业股份-000960-2024年报&2025一季报点评：24年产量持续攀升，25Q1盈利能力提升-250625,"事件
　　公司发布2024年报及2025年一季报，2024实现营收420亿元，同比-0.91%；归母净利润14.4亿元，同比+2.55%；扣非归母净利19.4亿元，同比+40....",王保庆,买入,3,2025-06-25,h**z,3,2025-06-29 01:10:16,,
投研资讯,东海证券-恒玄科技-688608-公司深度报告：高制程打造长期壁垒，端侧AI布局多条成长路径-250625,"投资要点：
　　恒玄科技主营业务为低功耗无线计算SoC芯片的研发、设计与销售，先进产品已经迭代到6nm制程，致力于成为国内蓝牙音频SOC领军企业。公司芯片集成多核CPU、DSP...",方霁,买入（首次）,23,2025-06-25,su***t,4,2025-06-29 01:10:17,,
投研资讯,东吴证券-民生健康-301507-百年同春，福泽民生-250625,"投资要点
　　百年同春，福泽民生。民生健康的控股股东为杭州民生药业，其前身是1926年创立的同春药房，同时也是中国最早生产针剂的西药厂之一。1985年民生针对国人研发上市了多维...",苏铖，邓洁,买入（首次）,24,2025-06-25,仙**季,4,2025-06-29 01:10:17,,
投研资讯,中邮证券-香农芯创-300475-受益于DDR4涨价分销盈利能力改善，自研企业级存储模组进展顺利-250625,"投资要点
　　DDR4价格或持续上行，DDR5替代进程提速。根据TrendForce集邦咨询，由于DRAM主要供应商将逐渐收敛Server和PCDDR4产出，以及买方积极提前备...",吴文吉,买入,5,2025-06-25,sl1****59,4,2025-06-29 01:10:17,,
投研资讯,群益证券-埃斯顿-002747-人形机器人新品发布，公司拟申请香港上市-250625,"结论与建议：
　　公司从工业机器人向具身智能领域拓展，2025年6月埃斯顿酷卓科技发布第二代人形机器人Codroid 02，全身自由度可达31个（不含灵巧手），在关节、系统、场...",赵旭东,买进,3,2025-06-25,na9****15,4,2025-06-29 01:10:17,,
投研资讯,华安证券-慕思股份-001323-聚焦床垫主业，引领智慧睡眠趋势-250615,"概况：中高端床垫品牌，健康睡眠倡导者
　　慕思股份成立于2007年，致力于提供中高端健康睡眠产品及服务，目前是集研发、设计、生产、销售、服务于一体的智慧健康睡眠解决方案服务商。...",徐偲，余倩莹,买入（首次）,32,2025-06-25,gen****ei,4,2025-06-29 01:10:17,,
投研资讯,长城证券-红墙股份-002809-大亚湾项目正式投产，构建精细化工增长引擎-250625,"事件：2025年6月16日，公司披露子公司红墙化学取得《安全生产许可证》的公告，标志着公司年产32万吨环氧乙烷及环氧丙烷衍生物项目进入正式生产期，对此点评如下：
　　公司大亚湾...",花江月,增持（首次）,4,2025-06-25,ay***q,4,2025-06-29 01:10:17,,
投研资讯,东方证券-北摩高科-002985-起落架批产交付，民航刹车市场持续拓展，应收账款问题有望改善-250625,"核心观点
　　起落架市场持续开拓，25年将实现多型飞机起落架小批产交付。公司24年起落架着陆系统业务实现收入0.84亿元（+1766.18%），多款产品进入重要应用节点：1）2...",罗楠，冯函,买入,5,2025-06-25,cn***g,4,2025-06-29 01:10:17,,
投研资讯,开源证券-创远信科-831961-北交所信息更新：两项国家研发项目完成验收工作，2025Q1归母净利润同比+245%-250625,"2025Q1实现营收6,091.41万元、归母净利润565.80万元
　　公司发布2024年报与2025年一季报，2024年，公司实现营收2.33亿元，同比下滑13.93%；归...",诸海滨,增持,4,2025-06-25,毕**云,4,2025-06-29 01:10:17,,
投研资讯,中邮证券-工业富联-601138-AI服务器增长强劲-250625,"投资要点
　　云厂商CAPEX持续增长，全年订单强劲。AI正处于快速发展、广泛应用的阶段，为了在AI领域占据领先地位，云厂商需要不断投入资本来建设、升级AI算力基础设施，以满足...",吴文吉,买入,4,2025-06-25,has****ee,4,2025-06-29 01:10:17,,
投研资讯,群益证券-歌尔股份-002241-AI眼镜新品频出，声光电龙头估值具备吸引力-250625,"结论与建议：
　　1Q25全球智能眼镜出货量达149万台，同比增长82%，预计全年出货量将突破1450万台，增长超过4成。当前AI眼镜行业正处于技术突破与商业化爆发的关键转折点...",朱吉翔,买入,2,2025-06-25,ruo****26,4,2025-06-29 01:10:17,,
投研资讯,德邦证券-中国石化-600028-业绩环比显著改善，高分红彰显长期价值-250625,事件：1）3月23日，公司发布2024年年报。2024年公司实现营业收入30746亿元，同比-4.3%；归母净利润503亿元，同比-16.8%；扣非归母净利润481亿元，同比-...,王华炳,买入（首次）,20,2025-06-25,790****58,4,2025-06-29 01:10:17,,
投研资讯,开源证券-胜科纳米-688757-中小盘次新股说：国内领先的半导体第三方检测企业，失效与材料分析领军者-250625,"稀缺的半导体第三方检测企业，被喻为“芯片全科医院”
　　胜科纳米是中国领先的半导体第三方检测分析服务商，服务于半导体全产业链客户，被喻为“芯片全科医院”。近年来，公司业绩高速增...",周佳,,16,2025-06-25,luo****98,4,2025-06-29 01:10:17,,
投研资讯,长城证券-鼎捷数智-300378-未来峰会绘制AI赋能产业新图景-250625,"事件：6月19日，鼎捷数智股份有限公司于武汉举办2025（第四届）数智未来峰会。
　　董事长开启创新对话，构建未来AI蓝图：本次发布会以“AI创变·破界生长”为主题，汇集多方共...",侯宾，沈彻,买入,4,2025-06-25,don****ng,4,2025-06-29 01:10:17,,
投研资讯,中邮证券-三元股份-600429-短期需求承压，经营质量不断改善-250625,"投资要点
　　公司2024年实现营业收入/归母净利润/扣非净利润70.12/0.55/0.30亿元，同比-10.73%/-77.44%/934.19%。2024年，公司毛利率/...",蔡雪昱，张子健,增持（首次）,5,2025-06-25,byr****an,4,2025-06-29 01:10:17,,
